Date,City,Temperature_C,Condition
2026-06-01,Delhi,30.7,Sunny
2026-06-02,Delhi,35.0,Sunny
2026-06-03,Delhi,34.8,Sunny
2026-06-04,Delhi,36.0,Cloudy
2026-06-05,Delhi,32.6,Partly Cloudy
2026-06-06,Delhi,35.6,Sunny
2026-06-07,Delhi,34.7,Sunny
2026-06-08,Delhi,28.3,Sunny
2026-06-09,Delhi,31.0,Sunny
2026-06-10,Delhi,34.9,Sunny
2026-06-11,Delhi,38.4,Sunny
2026-06-12,Delhi,33.3,Sunny
2026-06-13,Delhi,28.5,Rainy
2026-06-14,Delhi,34.3,Sunny
2026-06-15,Delhi,32.2,Sunny
2026-06-16,Delhi,36.8,Sunny
2026-06-17,Delhi,28.9,Cloudy
2026-06-18,Delhi,33.5,Sunny
2026-06-19,Delhi,36.5,Partly Cloudy
2026-06-20,Delhi,30.3,Sunny
2026-06-21,Delhi,25.1,Rainy
2026-06-22,Delhi,31.7,Cloudy
2026-06-23,Delhi,36.2,Partly Cloudy
2026-06-24,Delhi,34.5,Sunny
2026-06-25,Delhi,33.7,Sunny
2026-06-26,Delhi,33.1,Sunny
2026-06-27,Delhi,32.6,Sunny
2026-06-28,Delhi,37.2,Sunny
2026-06-29,Delhi,32.7,Rainy
2026-06-30,Delhi,32.8,Partly Cloudy
2026-06-01,Gurgaon,32.3,Cloudy
2026-06-02,Gurgaon,34.5,Cloudy
2026-06-03,Gurgaon,28.5,Sunny
2026-06-04,Gurgaon,36.3,Sunny
2026-06-05,Gurgaon,36.5,Sunny
2026-06-06,Gurgaon,25.6,Rainy
2026-06-07,Gurgaon,29.8,Rainy
2026-06-08,Gurgaon,26.8,Rainy
2026-06-09,Gurgaon,23.1,Rainy
2026-06-10,Gurgaon,35.5,Sunny
2026-06-11,Gurgaon,28.7,Sunny
2026-06-12,Gurgaon,31.4,Rainy
2026-06-13,Gurgaon,37.4,Sunny
2026-06-14,Gurgaon,31.4,Sunny
2026-06-15,Gurgaon,30.6,Sunny
2026-06-16,Gurgaon,31.5,Partly Cloudy
2026-06-17,Gurgaon,35.7,Partly Cloudy
2026-06-18,Gurgaon,34.0,Partly Cloudy
2026-06-19,Gurgaon,33.3,Sunny
2026-06-20,Gurgaon,35.9,Partly Cloudy
2026-06-21,Gurgaon,30.9,Partly Cloudy
2026-06-22,Gurgaon,32.0,Sunny
2026-06-23,Gurgaon,33.9,Sunny
2026-06-24,Gurgaon,33.8,Sunny
2026-06-25,Gurgaon,26.4,Rainy
2026-06-26,Gurgaon,31.7,Sunny
2026-06-27,Gurgaon,33.6,Partly Cloudy
2026-06-28,Gurgaon,25.2,Cloudy
2026-06-29,Gurgaon,27.2,Partly Cloudy
2026-06-30,Gurgaon,32.9,Sunny
2026-06-01,Rohtak,35.2,Sunny
2026-06-02,Rohtak,42.4,Sunny
2026-06-03,Rohtak,34.4,Sunny
2026-06-04,Rohtak,35.9,Sunny
2026-06-05,Rohtak,35.7,Rainy
2026-06-06,Rohtak,35.5,Cloudy
2026-06-07,Rohtak,34.5,Rainy
2026-06-08,Rohtak,41.6,Partly Cloudy
2026-06-09,Rohtak,40.1,Sunny
2026-06-10,Rohtak,37.6,Sunny
2026-06-11,Rohtak,34.4,Rainy
2026-06-12,Rohtak,29.6,Cloudy
2026-06-13,Rohtak,33.8,Partly Cloudy
2026-06-14,Rohtak,32.3,Sunny
2026-06-15,Rohtak,33.9,Partly Cloudy
2026-06-16,Rohtak,34.0,Cloudy
2026-06-17,Rohtak,27.9,Rainy
2026-06-18,Rohtak,35.6,Partly Cloudy
2026-06-19,Rohtak,30.7,Partly Cloudy
2026-06-20,Rohtak,38.6,Sunny
2026-06-21,Rohtak,35.7,Cloudy
2026-06-22,Rohtak,38.7,Sunny
2026-06-23,Rohtak,35.9,Partly Cloudy
2026-06-24,Rohtak,32.9,Sunny
2026-06-25,Rohtak,40.6,Sunny
2026-06-26,Rohtak,35.0,Cloudy
2026-06-27,Rohtak,30.3,Cloudy
2026-06-28,Rohtak,27.1,Rainy
2026-06-29,Rohtak,30.7,Cloudy
2026-06-30,Rohtak,35.4,Sunny
2026-06-01,Hisar,36.8,Sunny
2026-06-02,Hisar,38.0,Partly Cloudy
2026-06-03,Hisar,33.3,Rainy
2026-06-04,Hisar,38.8,Rainy
2026-06-05,Hisar,30.9,Cloudy
2026-06-06,Hisar,38.4,Partly Cloudy
2026-06-07,Hisar,36.6,Partly Cloudy
2026-06-08,Hisar,39.2,Partly Cloudy
2026-06-09,Hisar,35.6,Partly Cloudy
2026-06-10,Hisar,39.3,Sunny
2026-06-11,Hisar,34.2,Partly Cloudy
2026-06-12,Hisar,30.7,Rainy
2026-06-13,Hisar,32.1,Cloudy
2026-06-14,Hisar,37.5,Partly Cloudy
2026-06-15,Hisar,40.2,Sunny
2026-06-16,Hisar,34.8,Cloudy
2026-06-17,Hisar,30.2,Cloudy
2026-06-18,Hisar,34.2,Partly Cloudy
2026-06-19,Hisar,37.1,Partly Cloudy
2026-06-20,Hisar,35.2,Rainy
2026-06-21,Hisar,35.2,Rainy
2026-06-22,Hisar,39.0,Sunny
2026-06-23,Hisar,37.5,Sunny
2026-06-24,Hisar,34.4,Sunny
2026-06-25,Hisar,27.9,Rainy
2026-06-26,Hisar,38.1,Sunny
2026-06-27,Hisar,35.6,Sunny
2026-06-28,Hisar,40.3,Sunny
2026-06-29,Hisar,31.0,Rainy
2026-06-30,Hisar,39.0,Sunny
2026-06-01,Karnal,39.2,Sunny
2026-06-02,Karnal,33.4,Rainy
2026-06-03,Karnal,25.9,Partly Cloudy
2026-06-04,Karnal,31.0,Cloudy
2026-06-05,Karnal,29.7,Sunny
2026-06-06,Karnal,37.0,Sunny
2026-06-07,Karnal,33.0,Sunny
2026-06-08,Karnal,24.8,Cloudy
2026-06-09,Karnal,38.4,Sunny
2026-06-10,Karnal,35.1,Sunny
2026-06-11,Karnal,35.8,Sunny
2026-06-12,Karnal,29.9,Sunny
2026-06-13,Karnal,33.3,Sunny
2026-06-14,Karnal,32.0,Rainy
2026-06-15,Karnal,24.8,Rainy
2026-06-16,Karnal,31.7,Sunny
2026-06-17,Karnal,27.6,Rainy
2026-06-18,Karnal,28.9,Rainy
2026-06-19,Karnal,29.1,Partly Cloudy
2026-06-20,Karnal,33.4,Sunny
2026-06-21,Karnal,27.4,Rainy
2026-06-22,Karnal,27.7,Rainy
2026-06-23,Karnal,33.6,Rainy
2026-06-24,Karnal,26.1,Sunny
2026-06-25,Karnal,30.5,Partly Cloudy
2026-06-26,Karnal,32.6,Sunny
2026-06-27,Karnal,30.1,Partly Cloudy
2026-06-28,Karnal,28.7,Cloudy
2026-06-29,Karnal,34.4,Partly Cloudy
2026-06-30,Karnal,33.9,Sunny
2026-06-01,Panipat,35.2,Sunny
2026-06-02,Panipat,34.8,Partly Cloudy
2026-06-03,Panipat,36.8,Sunny
2026-06-04,Panipat,31.2,Sunny
2026-06-05,Panipat,32.3,Partly Cloudy
2026-06-06,Panipat,33.8,Cloudy
2026-06-07,Panipat,33.0,Sunny
2026-06-08,Panipat,35.8,Partly Cloudy
2026-06-09,Panipat,32.3,Sunny
2026-06-10,Panipat,35.6,Sunny
2026-06-11,Panipat,32.2,Partly Cloudy
