TransactionID,AccountID,TransactionDate,TransactionAmount,TransactionCategory,PaymentMethod,Location
TXN0016,ACC1018,2026-07-25 04:08:00,84741,Bills,Card,Hisar
TXN0095,ACC1005,2026-07-14 20:09:00,45609,Electronics,UPI,Chandigarh
TXN0051,ACC1002,2026-07-15 08:48:00,86347,Bills,Net Banking,Panipat
TXN0106,ACC1012,2026-07-17 16:58:00,83681,Entertainment,Net Banking,Delhi
TXN0110,ACC1014,2026-07-04 04:02:00,504,Bills,Card,Panipat
TXN0066,ACC1002,2026-07-19 19:42:00,20940,Travel,Wallet,Gurugram
TXN0019,ACC1003,2026-07-29 01:55:00,36847,Transfer,Card,Rohtak
TXN0046,ACC1007,2026-07-17 15:50:00,22778,Food,Card,Hisar
TXN0037,ACC1005,2026-07-30 07:55:00,73206,Shopping,Card,Hisar
TXN0056,ACC1016,2026-07-01 12:21:00,16864,Shopping,Wallet,Rohtak
TXN0086,ACC1003,2026-07-11 08:20:00,1149,Transfer,Wallet,Delhi
TXN0143,ACC1003,2026-07-17 20:11:00,107377,Travel,Net Banking,Chandigarh
TXN0020,ACC1005,2026-07-24 18:36:00,111993,Bills,UPI,Delhi
TXN0148,ACC1006,2026-07-31 06:21:00,8145,Food,Net Banking,Delhi
TXN0087,ACC1001,2026-07-17 11:39:00,15246,Entertainment,Card,Chandigarh
TXN0094,ACC1005,2026-07-17 18:21:00,1022,Transfer,UPI,Hisar
TXN0120,ACC1001,2026-07-03 04:17:00,92622,Entertainment,Wallet,Rohtak
TXN0013,ACC1010,2026-07-14 05:29:00,16830,Food,Net Banking,Hisar
TXN0010,ACC1015,2026-07-05 08:08:00,84438,Electronics,Net Banking,Gurugram
TXN0115,ACC1018,2026-07-07 18:13:00,2108,Entertainment,Card,Gurugram
TXN0030,ACC1002,2026-07-20 18:06:00,26984,Travel,Net Banking,Delhi
TXN0043,ACC1014,2026-07-03 21:58:00,30286,Entertainment,Wallet,Chandigarh
TXN0136,ACC1014,2026-07-19 12:33:00,48525,Bills,Net Banking,Gurugram
TXN0068,ACC1014,2026-07-16 17:48:00,114332,Shopping,UPI,Chandigarh
TXN0137,ACC1003,2026-07-17 20:07:00,26353,Travel,Card,Delhi
TXN0031,ACC1008,2026-07-12 09:10:00,3789,Entertainment,UPI,Gurugram
TXN0097,ACC1010,2026-07-08 23:05:00,63173,Travel,Net Banking,Delhi
TXN0032,ACC1009,2026-07-04 03:47:00,7546,Healthcare,Card,Hisar
TXN0079,ACC1002,2026-07-08 09:45:00,2516,Bills,Net Banking,Hisar
TXN0067,ACC1012,2026-07-26 08:21:00,2490,Bills,UPI,Gurugram
TXN0141,ACC1001,2026-07-02 11:53:00,61835,Transfer,UPI,Panipat
TXN0119,ACC1016,2026-07-28 12:27:00,1084,Food,Net Banking,Rohtak
TXN0070,ACC1018,2026-07-11 11:44:00,9438,Food,Card,Chandigarh
TXN0027,ACC1003,2026-07-03 05:04:00,80828,Food,Card,Rohtak
TXN0133,ACC1001,2026-07-16 23:27:00,7116,Healthcare,UPI,Panipat
TXN0147,ACC1003,2026-07-23 23:43:00,41168,Shopping,Net Banking,Chandigarh
TXN0057,ACC1003,2026-07-22 00:05:00,7223,Shopping,Net Banking,Panipat
TXN0023,ACC1015,2026-07-08 02:28:00,4708,Bills,Card,Panipat
TXN0102,ACC1001,2026-07-08 12:36:00,3140,Electronics,Net Banking,Delhi
TXN0082,ACC1017,2026-07-18 15:28:00,21306,Entertainment,UPI,Delhi
TXN0012,ACC1002,2026-07-20 14:33:00,2259,Entertainment,Net Banking,Delhi
TXN0114,ACC1001,2026-07-21 20:38:00,5828,Travel,Card,Delhi
TXN0146,ACC1010,2026-07-31 20:44:00,39498,Electronics,Net Banking,Gurugram
TXN0085,ACC1011,2026-07-11 21:06:00,33488,Electronics,UPI,Panipat
TXN0028,ACC1020,2026-07-02 19:05:00,39125,Entertainment,Card,Hisar
TXN0069,ACC1001,2026-07-13 22:15:00,98368,Healthcare,Wallet,Hisar
TXN0113,ACC1012,2026-07-18 20:22:00,696,Transfer,UPI,Hisar
TXN0042,ACC1003,2026-07-04 12:57:00,55817,Shopping,Card,Chandigarh
TXN0005,ACC1010,2026-07-27 20:39:00,3162,Bills,Net Banking,Delhi
TXN0033,ACC1003,2026-07-28 08:32:00,4202,Electronics,Net Banking,Delhi
TXN0052,ACC1003,2026-07-23 09:15:00,10502,Travel,Card,Panipat
TXN0096,ACC1003,2026-07-28 17:24:00,2794,Food,Card,Hisar
TXN0134,ACC1002,2026-07-14 00:29:00,106267,Electronics,Net Banking,Delhi
TXN0017,ACC1010,2026-07-13 21:41:00,117839,Food,Card,Gurugram
TXN0144,ACC1002,2026-07-13 13:49:00,39591,Food,Net Banking,Delhi
TXN0011,ACC1005,2026-07-17 15:05:00,19108,Electronics,UPI,Panipat
TXN0061,ACC1006,2026-07-20 19:47:00,46846,Food,UPI,Chandigarh
TXN0098,ACC1002,2026-07-11 01:18:00,11141,Electronics,Card,Gurugram
TXN0083,ACC1008,2026-07-31 21:53:00,4912,Travel,Wallet,Rohtak
TXN0001,ACC1004,2026-07-01 23:17:00,2206,Electronics,UPI,Delhi
TXN0076,ACC1014,2026-07-20 19:50:00,99856,Transfer,Net Banking,Rohtak
TXN0011,ACC1005,2026-07-17 15:05:00,19108,Electronics,UPI,Panipat
TXN0121,ACC1020,2026-07-14 03:50:00,78183,Transfer,Card,Panipat
TXN0025,ACC1015,2026-07-10 13:44:00,15844,Bills,Net Banking,Gurugram
TXN0065,ACC1014,2026-07-27 23:37:00,2398,Entertainment,Wallet,Gurugram
TXN0045,ACC1001,2026-07-10 09:13:00,92237,Transfer,Wallet,Hisar
TXN0077,ACC1014,2026-07-10 18:39:00,14988,Bills,Net Banking,Hisar
TXN0029,ACC1011,2026-07-08 08:25:00,89321,Healthcare,UPI,Delhi
TXN0041,ACC1009,2026-07-06 18:16:00,39548,Healthcare,Wallet,Rohtak
TXN0118,ACC1019,2026-07-04 14:32:00,21420,Transfer,UPI,Delhi
TXN0026,ACC1002,2026-07-19 23:34:00,699,Transfer,Card,Delhi
TXN0024,ACC1002,2026-07-16 06:55:00,71579,Shopping,Wallet,Chandigarh
TXN0105,ACC1002,2026-07-24 04:05:00,10352,Bills,Card,Rohtak
TXN0040,ACC1011,2026-07-09 02:49:00,116768,Healthcare,UPI,Delhi
TXN0080,ACC1019,2026-07-22 06:27:00,27366,Travel,UPI,Delhi
TXN0150,ACC1001,2026-07-27 22:49:00,55726,Healthcare,Card,Panipat
TXN0129,ACC1001,2026-07-12 09:46:00,2857,Travel,Card,Rohtak
TXN0048,ACC1003,2026-07-07 22:44:00,13099,Shopping,UPI,Panipat
TXN0123,ACC1001,2026-07-22 15:04:00,62219,Food,Net Banking,Gurugram
TXN0125,ACC1002,2026-07-31 09:38:00,10761,Travel,Wallet,Gurugram
TXN0074,ACC1011,2026-07-06 01:16:00,58564,Transfer,UPI,Rohtak
