Post_ID,User,Timestamp,Hashtags,Likes,Comments,Shares,Category
1,Grace,2026-08-01 06:40:00,#machinelearning,176,9,15,Technology
2,james,2026-08-01 13:28:00,#win,44,6,6,Sports
3,Charlie,2026-08-01 13:55:00,#life,146,28,17,Lifestyle
4,Bob,2026-08-01 15:22:00,#yum #life #travel,1469,152,75,Lifestyle
5,Alice,2026-08-01 15:58:00,#athlete #motorsport #win #cricket,1184,164,169,Sports
6,Bob,2026-08-02 02:56:00,#coding,27,5,0,Technology
7,Ivan,2026-08-02 05:55:00,#rpg #gamer,2115,419,199,Gaming
8,Priya,2026-08-02 06:43:00,#machinelearning,2235,213,135,Technology
9,Bob,2026-08-02 07:19:00,#college #knowledge #learning #study,760,83,75,Education
10,james,2026-08-02 15:30:00,#AI,1526,74,44,Technology
11,David,2026-08-02 21:09:00,#cricket,186,11,24,Sports
12,Bob,2026-08-03 09:42:00,#daily #yum #travel,1393,252,56,Lifestyle
13,Ivan,2026-08-03 09:59:00,#hackathon #study,2327,173,168,Education
14,Neha,2026-08-03 15:34:00,#movies #art #music #show,1973,473,22,Entertainment
15,Neha,2026-08-04 00:49:00,#protein,1979,396,183,Fitness
16,Eve,2026-08-04 13:04:00,#gaming #gamer #rpg #stream,2321,320,248,Gaming
17,Neha,2026-08-04 14:22:00,#student #study,1448,239,84,Education
18,David,2026-08-04 14:58:00,#gamer #gaming #esports,159,7,22,Gaming
19,Tara,2026-08-04 17:11:00,#art #show #music,1964,107,62,Entertainment
20,Charlie,2026-08-04 19:21:00,#food #life #vibes,1914,75,21,Lifestyle
21,Charlie,2026-08-05 03:23:00,#study #learning #hackathon #college,282,36,32,Education
22,Ivan,2026-08-05 04:08:00,#travel #daily #vlog,1159,192,152,Lifestyle
23,james,2026-08-05 17:28:00,#vlog,266,10,15,Lifestyle
24,Tara,2026-08-05 17:40:00,#music #fun #art #comedy,575,39,62,Entertainment
25,Heidi,2026-08-05 19:46:00,#music #fun,2170,450,141,Entertainment
26,Charlie,2026-08-06 12:32:00,#food #travel #yum,2234,297,118,Lifestyle
27,Sam,2026-08-06 16:52:00,#gym #gains,2320,549,263,Fitness
28,Tara,2026-08-06 19:43:00,#fitness #health #workout,1928,479,138,Fitness
29,Priya,2026-08-06 20:20:00,#study,1927,374,156,Education
30,Heidi,2026-08-06 20:48:00,#sports,614,24,20,Sports
31,Eve,2026-08-07 08:43:00,#machinelearning #data,545,129,68,Technology
32,Neha,2026-08-07 12:21:00,#learning #study,287,29,31,Education
33,Sam,2026-08-07 13:44:00,#setup,648,18,76,Gaming
34,Heidi,2026-08-07 15:27:00,#gadgets #python,1236,173,141,Technology
35,Eve,2026-08-07 18:24:00,#data #linux #dev #python,947,60,132,Technology
36,Sam,2026-08-07 18:49:00,#AI #machinelearning #python #gadgets,829,89,32,Technology
37,Charlie,2026-08-07 20:00:00,#study #learning #college,784,47,115,Education
38,Eve,2026-08-08 11:00:00,#vlog #vibes,2497,140,33,Lifestyle
39,David,2026-08-08 12:55:00,#tech #AI #linux #dev,1775,251,110,Technology
40,Rahul,2026-08-08 15:34:00,#art #comedy,2408,470,57,Entertainment
41,Charlie,2026-08-08 16:58:00,#coding #machinelearning #data #python,1012,156,116,Technology
42,Bob,2026-08-08 18:13:00,#food #daily #vlog #travel,1428,96,114,Lifestyle
43,Priya,2026-08-08 22:10:00,#genshin #rpg #setup #gaming,918,215,18,Gaming
44,David,2026-08-09 00:36:00,#training #gym #gains #workout,1148,77,111,Fitness
45,Heidi,2026-08-09 00:53:00,#life #travel #daily #vlog,667,144,69,Lifestyle
46,Charlie,2026-08-09 06:25:00,#athlete #motorsport #cricket,2427,483,228,Sports
47,Eve,2026-08-09 12:57:00,#dev #machinelearning #coding,1828,102,114,Technology
48,james,2026-08-10 05:57:00,#hackathon #knowledge #student,2059,377,21,Education
49,Rahul,2026-08-10 06:24:00,#art #fun #movies,1416,133,197,Entertainment
50,Rahul,2026-08-10 08:15:00,#comedy #music #show,139,23,14,Entertainment
51,Neha,2026-08-10 14:35:00,#setup #rpg,1891,164,261,Gaming
52,james,2026-08-10 16:21:00,#gaming #esports #stream #setup,1078,44,112,Gaming
53,Rahul,2026-08-10 17:24:00,#gadgets #linux #python #AI,1479,302,141,Technology
54,Eve,2026-08-10 21:55:00,#learning,1813,46,130,Education
55,Eve,2026-08-10 23:38:00,#art #comedy,1511,263,175,Entertainment
56,Rahul,2026-08-11 06:12:00,#setup #gamer #esports #stream,685,153,59,Gaming
57,Eve,2026-08-11 07:40:00,#gains #fitness,352,44,8,Fitness
58,Charlie,2026-08-11 11:02:00,#fun #comedy #music #movies,2319,378,342,Entertainment
59,james,2026-08-12 01:21:00,#motorsport #football,1715,370,109,Sports
60,Grace,2026-08-12 02:35:00,#cricket #athlete,458,20,36,Sports
61,Rahul,2026-08-12 03:09:00,#sports,696,153,20,Sports
62,Priya,2026-08-12 04:29:00,#learning #student #knowledge #college,2361,312,47,Education
63,Heidi,2026-08-12 08:37:00,#matchday #football,1814,174,180,Sports
64,Alice,2026-08-12 12:25:00,#comedy #fun #show,1990,137,137,Entertainment
65,Alice,2026-08-12 15:20:00,#travel #food,1843,250,236,Lifestyle
66,Sam,2026-08-12 15:44:00,#student #college #learning #study,902,150,60,Education
67,Grace,2026-08-12 16:21:00,#fun #music,917,51,76,Entertainment
68,Heidi,2026-08-13 18:59:00,#fun #art #show,598,103,66,Entertainment
69,Rahul,2026-08-14 13:10:00,#fun #show,523,96,9,Entertainment
70,james,2026-08-15 13:03:00,#hackathon #student,201,35,20,Education
71,Tara,2026-08-15 20:46:00,#esports,1312,304,93,Gaming
72,james,2026-08-15 22:16:00,#football #athlete #motorsport,622,17,35,Sports
73,Priya,2026-08-16 03:35:00,#vlog,681,72,16,Lifestyle
74,Ivan,2026-08-16 04:17:00,#gains #health #protein #workout,243,26,12,Fitness
75,Grace,2026-08-16 04:55:00,#gamer #rpg,2123,312,205,Gaming
76,Sam,2026-08-16 05:59:00,#fun #show #movies,1997,148,100,Entertainment
77,David,2026-08-16 18:15:00,#hackathon,1839,326,180,Education
78,Priya,2026-08-16 19:24:00,#student #knowledge #college #hackathon,710,86,24,Education
79,David,2026-08-17 00:43:00,#coding #dev #linux,486,50,48,Technology
80,Rahul,2026-08-17 03:12:00,#genshin #setup,2361,94,226,Gaming
81,Heidi,2026-08-17 04:46:00,#cricket #football #win #athlete,1272,268,159,Sports
82,Sam,2026-08-17 22:18:00,#esports #stream #genshin,1572,75,151,Gaming
83,Neha,2026-08-18 03:43:00,#vlog #food #travel #vibes,2220,140,244,Lifestyle
84,Heidi,2026-08-18 04:43:00,#vibes #food #travel #yum,1215,97,172,Lifestyle
85,Priya,2026-08-18 06:02:00,#machinelearning #coding #data,330,54,5,Technology
86,Bob,2026-08-18 08:12:00,#machinelearning #gadgets,963,192,122,Technology
87,Neha,2026-08-18 13:03:00,#setup #genshin,144,26,9,Gaming
88,Heidi,2026-08-18 19:23:00,#esports #stream #genshin #setup,587,41,21,Gaming
89,Neha,2026-08-18 21:58:00,#movies,1695,382,134,Entertainment
90,Alice,2026-08-19 08:16:00,#tech #gadgets #python,873,134,28,Technology
91,Priya,2026-08-19 20:33:00,#sports #football #athlete #motorsport,2249,187,177,Sports
92,David,2026-08-20 15:19:00,#tech #AI,1876,348,185,Technology
93,Heidi,2026-08-20 16:29:00,#gains #health,2430,97,243,Fitness
94,Tara,2026-08-20 16:45:00,#health #workout #gym,1720,291,179,Fitness
95,Tara,2026-08-20 21:16:00,#gym #fitness #gains,1547,127,211,Fitness
96,Eve,2026-08-20 21:32:00,#student #study #knowledge,1776,285,205,Education
97,Eve,2026-08-20 23:13:00,#machinelearning,2169,342,37,Technology
98,Grace,2026-08-21 02:16:00,#football #sports,101,13,2,Sports
99,Priya,2026-08-22 01:10:00,#athlete #motorsport,2353,511,284,Sports
100,Bob,2026-08-23 00:38:00,#gadgets #linux,2154,265,165,Technology
101,Ivan,2026-08-23 05:30:00,#movies #show,159,11,11,Entertainment
102,Sam,2026-08-23 08:41:00,#sports #cricket #football,273,27,8,Sports
103,David,2026-08-23 16:51:00,#hackathon,1915,60,190,Education
104,Eve,2026-08-23 18:26:00,#show,1636,155,160,Entertainment
105,Ivan,2026-08-24 00:39:00,#yum #vlog #daily,1421,200,177,Lifestyle
106,Heidi,2026-08-24 03:28:00,#matchday #athlete,2162,172,210,Sports
107,Alice,2026-08-24 16:43:00,#music #comedy,405,66,16,Entertainment
108,Neha,2026-08-24 18:05:00,#stream,215,26,3,Gaming
109,Grace,2026-08-24 20:26:00,#data #coding #machinelearning #gadgets,1293,69,163,Technology
110,David,2026-08-24 23:17:00,#fitness #workout #gym #gains,313,34,37,Fitness
111,Neha,2026-08-25 06:00:00,#fitness #protein,1790,185,184,Fitness
112,Bob,2026-08-25 06:12:00,#show #fun #comedy #music,1281,175,191,Entertainment
113,Bob,2026-08-25 06:13:00,#study #college #hackathon #knowledge,1099,54,64,Education
114,Charlie,2026-08-25 12:57:00,#knowledge #hackathon #student,767,148,114,Education
115,Heidi,2026-08-25 17:42:00,#health #training,1082,143,158,Fitness
116,Tara,2026-08-25 22:38:00,#gains,1235,148,105,Fitness
117,Eve,2026-08-26 03:09:00,#rpg #stream #genshin #setup,625,73,83,Gaming
118,Heidi,2026-08-26 08:07:00,#student #knowledge #learning #hackathon,326,36,6,Education
119,Grace,2026-08-26 08:37:00,#daily #food #vlog,1216,110,104,Lifestyle
120,Alice,2026-08-26 22:06:00,#training,497,32,71,Fitness
121,David,2026-08-26 23:35:00,#music #comedy #art,540,16,44,Entertainment
122,Heidi,2026-08-27 04:43:00,#gamer #rpg #gaming,146,25,21,Gaming
123,Priya,2026-08-27 05:55:00,#athlete,970,34,67,Sports
124,Bob,2026-08-27 08:43:00,#protein #workout #training #fitness,1151,237,94,Fitness
125,Sam,2026-08-27 10:30:00,#gym,460,38,58,Fitness
126,Sam,2026-08-27 15:57:00,#life,1844,71,144,Lifestyle
127,Sam,2026-08-27 17:02:00,#study,1911,476,42,Education
128,David,2026-08-27 18:13:00,#athlete #football #sports #motorsport,62,8,1,Sports
129,Neha,2026-08-27 22:27:00,#tech #python #machinelearning #data,2039,116,299,Technology
130,Rahul,2026-08-28 06:16:00,#student #learning #college,1058,245,13,Education
131,Sam,2026-08-28 07:17:00,#art,1774,289,230,Entertainment
132,Rahul,2026-08-28 19:15:00,#comedy #movies #art #fun,1335,86,114,Entertainment
133,David,2026-08-29 01:20:00,#gaming #genshin,1764,217,253,Gaming
134,Bob,2026-08-29 01:40:00,#dev #gadgets #machinelearning #AI,383,41,5,Technology
135,Sam,2026-08-29 02:16:00,#study,1910,460,240,Education
136,james,2026-08-29 02:48:00,#learning #knowledge #study #student,2023,272,290,Education
137,Alice,2026-08-29 07:57:00,#vlog #food,1454,42,69,Lifestyle
138,Tara,2026-08-29 12:00:00,#learning #study #student,1452,288,181,Education
139,Neha,2026-08-29 13:54:00,#student #study #hackathon,1781,260,31,Education
140,Tara,2026-08-29 19:02:00,#study #hackathon,1314,139,174,Education
141,Bob,2026-08-29 19:47:00,#matchday #sports #motorsport,350,11,10,Sports
142,Sam,2026-08-29 20:28:00,#protein #health #training #workout,2001,356,220,Fitness
143,David,2026-08-29 21:59:00,#athlete,781,35,64,Sports
144,Alice,2026-08-30 00:50:00,#college #study #student,222,47,3,Education
145,Eve,2026-08-30 02:11:00,#stream #setup #rpg #gaming,1623,258,47,Gaming
146,Bob,2026-08-30 08:20:00,#comedy #movies,851,66,12,Entertainment
147,David,2026-08-30 08:25:00,#knowledge #study,2125,173,216,Education
148,Heidi,2026-08-30 16:30:00,#daily,1077,244,146,Lifestyle
149,james,2026-08-31 00:21:00,#cricket,912,97,24,Sports
150,Grace,2026-08-31 00:54:00,#cricket #football,587,22,44,Sports
151,Neha,2026-08-31 04:48:00,#learning,576,103,62,Education
152,Sam,2026-08-31 06:36:00,#student #knowledge #learning,15,2,1,Education
153,Ivan,2026-08-31 12:11:00,#python #coding,2036,151,246,Technology
154,Alice,2026-08-31 13:13:00,#gaming #esports,1755,58,38,Gaming
155,Eve,2026-08-31 14:53:00,#travel #vlog #vibes,1966,415,254,Lifestyle
156,Neha,2026-08-31 23:44:00,#gadgets #python #AI,801,139,55,Technology
157,Tara,2026-09-01 07:12:00,#gains #protein #fitness #gym,510,79,58,Fitness
158,james,2026-09-01 10:47:00,#show #music #fun,1248,142,39,Entertainment
159,Tara,2026-09-01 17:15:00,#comedy #art #movies,2057,452,243,Entertainment
160,Alice,2026-09-01 17:46:00,#learning #knowledge,1579,217,68,Education
161,Neha,2026-09-01 21:32:00,#cricket #motorsport #athlete #win,1492,320,212,Sports
162,Ivan,2026-09-02 00:10:00,#hackathon #college #learning,1691,82,192,Education
163,Rahul,2026-09-02 04:12:00,#gaming #genshin,1793,188,113,Gaming
