Date,Ticker,Sector,Shares,Buy_Price,Close_Price
2026-07-13,AAPL,Technology,50,150.0,151.27
2026-07-14,AAPL,Technology,50,150.0,151.11
2026-07-15,AAPL,Technology,50,150.0,152.72
2026-07-16,AAPL,Technology,50,150.0,156.37
2026-07-17,AAPL,Technology,50,150.0,155.97
2026-07-20,AAPL,Technology,50,150.0,155.58
2026-07-21,AAPL,Technology,50,150.0,159.42
2026-07-22,AAPL,Technology,50,150.0,161.42
2026-07-23,AAPL,Technology,50,150.0,160.44
2026-07-24,AAPL,Technology,50,150.0,161.91
2026-07-27,AAPL,Technology,50,150.0,160.94
2026-07-28,AAPL,Technology,50,150.0,159.98
2026-07-29,AAPL,Technology,50,150.0,160.72
2026-07-30,AAPL,Technology,50,150.0,156.27
2026-07-31,AAPL,Technology,50,150.0,152.38
2026-08-03,AAPL,Technology,50,150.0,151.25
2026-08-04,AAPL,Technology,50,150.0,149.1
2026-08-05,AAPL,Technology,50,150.0,149.96
2026-08-06,AAPL,Technology,50,150.0,148.06
2026-08-07,AAPL,Technology,50,150.0,145.07
2026-08-10,AAPL,Technology,50,150.0,148.41
2026-08-11,AAPL,Technology,50,150.0,148.05
2026-08-12,AAPL,Technology,50,150.0,148.35
2026-08-13,AAPL,Technology,50,150.0,145.33
2026-08-14,AAPL,Technology,50,150.0,144.29
2026-08-17,AAPL,Technology,50,150.0,144.67
2026-08-18,AAPL,Technology,50,150.0,142.32
2026-08-19,AAPL,Technology,50,150.0,143.26
2026-08-20,AAPL,Technology,50,150.0,142.12
2026-08-21,AAPL,Technology,50,150.0,141.64
2026-08-24,AAPL,Technology,50,150.0,140.5
2026-08-25,AAPL,Technology,50,150.0,144.54
2026-08-26,AAPL,Technology,50,150.0,144.66
2026-08-27,AAPL,Technology,50,150.0,142.51
2026-08-28,AAPL,Technology,50,150.0,144.41
2026-08-31,AAPL,Technology,50,150.0,141.91
2026-09-01,AAPL,Technology,50,150.0,142.5
2026-09-02,AAPL,Technology,50,150.0,138.45
2026-09-03,AAPL,Technology,50,150.0,135.83
2026-09-04,AAPL,Technology,50,150.0,136.37
2026-09-07,AAPL,Technology,50,150.0,138.01
2026-09-08,AAPL,Technology,50,150.0,138.51
2026-09-09,AAPL,Technology,50,150.0,138.41
2026-07-13,MSFT,Technology,30,250.0,249.12
2026-07-14,MSFT,Technology,30,250.0,243.85
2026-07-15,MSFT,Technology,30,250.0,241.46
2026-07-16,MSFT,Technology,30,250.0,240.03
2026-07-17,MSFT,Technology,30,250.0,244.08
2026-07-20,MSFT,Technology,30,250.0,245.58
2026-07-21,MSFT,Technology,30,250.0,239.33
2026-07-22,MSFT,Technology,30,250.0,240.73
2026-07-23,MSFT,Technology,30,250.0,239.58
2026-07-24,MSFT,Technology,30,250.0,237.39
2026-07-27,MSFT,Technology,30,250.0,239.8
2026-07-28,MSFT,Technology,30,250.0,243.75
2026-07-29,MSFT,Technology,30,250.0,247.4
2026-07-30,MSFT,Technology,30,250.0,244.53
2026-07-31,MSFT,Technology,30,250.0,243.64
2026-08-03,MSFT,Technology,30,250.0,245.1
2026-08-04,MSFT,Technology,30,250.0,248.93
2026-08-05,MSFT,Technology,30,250.0,247.39
2026-08-06,MSFT,Technology,30,250.0,246.95
2026-08-07,MSFT,Technology,30,250.0,243.1
2026-08-10,MSFT,Technology,30,250.0,238.98
2026-08-11,MSFT,Technology,30,250.0,242.13
2026-08-12,MSFT,Technology,30,250.0,247.3
2026-08-13,MSFT,Technology,30,250.0,247.28
2026-08-14,MSFT,Technology,30,250.0,251.25
2026-08-17,MSFT,Technology,30,250.0,252.86
2026-08-18,MSFT,Technology,30,250.0,250.67
2026-08-19,MSFT,Technology,30,250.0,252.28
2026-08-20,MSFT,Technology,30,250.0,258.35
2026-08-21,MSFT,Technology,30,250.0,258.47
2026-08-24,MSFT,Technology,30,250.0,264.79
2026-08-25,MSFT,Technology,30,250.0,254.65
2026-08-26,MSFT,Technology,30,250.0,258.05
2026-08-27,MSFT,Technology,30,250.0,258.64
2026-08-28,MSFT,Technology,30,250.0,257.74
2026-08-31,MSFT,Technology,30,250.0,258.35
2026-09-01,MSFT,Technology,30,250.0,250.91
2026-09-02,MSFT,Technology,30,250.0,250.33
2026-09-03,MSFT,Technology,30,250.0,251.92
2026-09-04,MSFT,Technology,30,250.0,257.76
2026-09-07,MSFT,Technology,30,250.0,256.02
2026-09-08,MSFT,Technology,30,250.0,253.17
2026-09-09,MSFT,Technology,30,250.0,251.51
2026-07-13,JPM,Financials,40,130.0,131.92
2026-07-14,JPM,Financials,40,130.0,132.7
2026-07-15,JPM,Financials,40,130.0,131.78
2026-07-16,JPM,Financials,40,130.0,132.92
2026-07-17,JPM,Financials,40,130.0,133.25
2026-07-20,JPM,Financials,40,130.0,135.32
2026-07-21,JPM,Financials,40,130.0,134.03
2026-07-22,JPM,Financials,40,130.0,133.5
2026-07-23,JPM,Financials,40,130.0,132.85
2026-07-24,JPM,Financials,40,130.0,130.07
2026-07-27,JPM,Financials,40,130.0,130.78
2026-07-28,JPM,Financials,40,130.0,131.42
2026-07-29,JPM,Financials,40,130.0,131.56
2026-07-30,JPM,Financials,40,130.0,131.23
2026-07-31,JPM,Financials,40,130.0,128.57
2026-08-03,JPM,Financials,40,130.0,127.89
2026-08-04,JPM,Financials,40,130.0,127.36
2026-08-05,JPM,Financials,40,130.0,125.96
2026-08-06,JPM,Financials,40,130.0,125.78
2026-08-07,JPM,Financials,40,130.0,126.67
2026-08-10,JPM,Financials,40,130.0,130.38
2026-08-11,JPM,Financials,40,130.0,130.85
2026-08-12,JPM,Financials,40,130.0,131.48
2026-08-13,JPM,Financials,40,130.0,131.47
2026-08-14,JPM,Financials,40,130.0,127.82
2026-08-17,JPM,Financials,40,130.0,127.89
2026-08-18,JPM,Financials,40,130.0,128.14
2026-08-19,JPM,Financials,40,130.0,133.0
2026-08-20,JPM,Financials,40,130.0,132.75
2026-08-21,JPM,Financials,40,130.0,133.48
2026-08-24,JPM,Financials,40,130.0,133.55
2026-08-25,JPM,Financials,40,130.0,131.34
2026-08-26,JPM,Financials,40,130.0,133.72
2026-08-27,JPM,Financials,40,130.0,135.36
2026-08-28,JPM,Financials,40,130.0,137.1
2026-08-31,JPM,Financials,40,130.0,135.37
2026-09-01,JPM,Financials,40,130.0,138.36
2026-09-02,JPM,Financials,40,130.0,135.58
2026-09-03,JPM,Financials,40,130.0,136.91
