Invoice_Number,Customer_Name,Invoice_Date,Due_Date,Total_Items,Invoice_Total,Status
INV-1005,Wayne Tech,2026-07-14,2026-08-13,3,506.8,Overdue 
INV-1012,Global Industries,2026-07-14,2026-08-13,15,4388.91,Overdue 
INV-1011,Global Industries,2026-07-22,2026-08-21,2,514.0,Overdue 
INV-1004,Wayne Tech,2026-07-31,2026-08-30,17,2597.16,Overdue 
INV-1018,TechNova,2026-08-01,2026-08-31,18,5128.26,Overdue 
INV-1019,Acme Corp,2026-08-04,2026-09-03,13,4991.6900000000005,Overdue 
INV-1001,TechNova,2026-08-08,2026-09-07,11,2642.1000000000004,Overdue 
INV-1014,TechNova,2026-08-10,2026-09-09,13,3006.64,Overdue 
INV-1015,Wayne Tech,2026-08-11,2026-09-10,2,949.9,Overdue 
INV-1010,Global Industries,2026-08-11,2026-09-10,5,2430.2000000000003,Overdue 
INV-1016,Global Industries,2026-08-13,2026-09-12,25,8502.11,Pending 
INV-1009,Wayne Tech,2026-08-18,2026-09-17,14,5049.46,Pending 
INV-1002,Stark Enterprises,2026-08-23,2026-09-22,12,3874.5199999999995,Pending 
INV-1017,Acme Corp,2026-08-28,2026-09-27,2,353.78,Pending 
INV-1008,Global Industries,2026-08-30,2026-09-29,11,4299.5,Pending 
INV-1007,Stark Enterprises,2026-08-30,2026-09-29,20,5316.2300000000005,Pending 
INV-1006,Acme Corp,2026-09-01,2026-10-01,2,896.1,Pending 
INV-1003,Global Industries,2026-09-02,2026-10-02,17,5046.03,Pending 
INV-1020,Global Industries,2026-09-02,2026-10-02,8,2828.24,Pending 
INV-1013,Wayne Tech,2026-09-05,2026-10-05,12,1005.8600000000001,Pending 
